algorithm,name,description,qgis_output_type
grass7:r.watershed,length_slope,Slope length and steepness (LS) factor for USLE,outputRaster
grass7:r.watershed,slope_steepness,Slope steepness (S) factor for USLE,outputRaster
grass7:r.watershed,spi,Stream power index a * tan(b),outputRaster
grass7:r.watershed,stream,Stream segments,outputRaster
grass7:r.watershed,tci,Topographic index ln(a / tan(b)),outputRaster
grass7:r.what.color,html,Colors file,outputHtml
grass7:r.what.coords,output,Raster Value File,outputFile
grass7:r.what.points,output,Raster Values File,outputFile
grass7:v.buffer,output,Buffer,outputVector
grass7:v.build.check,error,Topological errors,outputVector
grass7:v.build.polylines,output,Polylines,outputVector
grass7:v.class,html,Classification,outputHtml
grass7:v.clean,error,Errors,outputVector
grass7:v.clean,output,Cleaned,outputVector
grass7:v.cluster,output,Clustered,outputVector
grass7:v.db.select,file,Attributes,outputFile
grass7:v.decimate,output,Output vector map,outputVector
grass7:v.delaunay,output,Delaunay triangulation,outputVector
grass7:v.dissolve,output,Dissolved,outputVector
grass7:v.distance,from_output,Nearest,outputVector
grass7:v.distance,output,Distance,outputVector
grass7:v.drape,output,3D vector,outputVector
grass7:v.edit,output,Edited,outputVector
grass7:v.extract,output,Selected,outputVector
grass7:v.extrude,output,3D Vector,outputVector
grass7:v.generalize,error,Errors,outputVector
grass7:v.generalize,output,Generalized,outputVector
grass7:v.hull,output,Convex hull,outputVector
grass7:v.in.ascii,output,ASCII,outputVector
grass7:v.in.dxf,output,Converted,outputVector
grass7:v.in.e00,output,Name of output vector,outputVector
grass7:v.in.geonames,output,Geonames,outputVector
grass7:v.in.lidar,output,Lidar,outputVector
grass7:v.in.lines,output,Lines,outputVector
grass7:v.in.mapgen,output,Mapgen,outputVector
grass7:v.in.wfs,output,Converted,outputVector
grass7:v.info,html,Information report,outputHtml
grass7:v.kcv,output,Partition,outputVector
grass7:v.kernel.rast,output,Kernel,outputRaster
grass7:v.kernel.vector,output,Kernel,outputVector
grass7:v.lidar.correction,output,Classified,outputVector
grass7:v.lidar.correction,terrain,Only 'terrain' points,outputVector
grass7:v.lidar.edgedetection,output,Edges,outputVector
grass7:v.lidar.growing,output,Buildings,outputVector
grass7:v.mkgrid,map,Grid,outputVector
grass7:v.neighbors,output,Neighborhood,outputRaster
grass7:v.net,output,Network,outputVector
grass7:v.net.alloc,output,Network Alloction,outputVector
grass7:v.net.allpairs,output,Network_Allpairs,outputVector
grass7:v.net.bridge,output,Bridge,outputVector
grass7:v.net.centrality,output,Network Centrality,outputVector
grass7:v.net.components,output,Network_Components_Line,outputVector
grass7:v.net.components,output_point,Network_Components_Point,outputVector
grass7:v.net.connectivity,output,Network_Connectivity,outputVector
grass7:v.net.distance,output,Network_Distance,outputVector
grass7:v.net.flow,cut,Network_Cut,outputVector
grass7:v.net.flow,output,Network_Flow,outputVector
grass7:v.net.iso,output,Network_Iso,outputVector
grass7:v.net.nreport,output,NReport,outputHtml
grass7:v.net.path,output,Network_Path,outputVector
grass7:v.net.report,html,Report,outputHtml
grass7:v.net.salesman,output,Network_Salesman,outputVector
grass7:v.net.salesman,sequence,Output file holding node sequence,outputFile
grass7:v.net.spanningtree,output,SpanningTree,outputVector
grass7:v.net.steiner,output,Network Steiner,outputVector
grass7:v.net.timetable,output,Network Timetable,outputVector
grass7:v.net.visibility,output,Network Visibility,outputVector
grass7:v.normal,html,Normality,outputHtml
grass7:v.out.ascii,output,Name for output ASCII file or ASCII vector name if '-o' is defined,outputFile
grass7:v.out.dxf,output,DXF vector,outputFile
grass7:v.out.pov,output,POV vector,outputFile
grass7:v.out.svg,output,SVG File,outputFile
grass7:v.out.vtk,output,VTK File,outputFile
grass7:v.outlier,outlier,Outliers,outputVector
grass7:v.outlier,output,Layer without outliers,outputVector
grass7:v.overlay,output,Overlay,outputVector
grass7:v.pack,output,Packed archive,outputFile
grass7:v.parallel,output,Parallel lines,outputVector
grass7:v.patch,bbox,Bounding boxes,outputVector
grass7:v.patch,output,Combined,outputVector
grass7:v.perturb,output,Perturbed,outputVector
grass7:v.proj,output,Output vector map,outputVector
grass7:v.qcount,output,Quadrats,outputVector
grass7:v.random,output,Random,outputVector
grass7:v.rast.stats,output,Rast stats,outputVector
grass7:v.reclass,output,Reclassified,outputVector
grass7:v.rectify,output,Rectified,outputVector
grass7:v.rectify,rmsfile,Root Mean Square errors file,outputFile
grass7:v.report,html,Report,outputHtml
grass7:v.sample,output,Sampled,outputVector
grass7:v.segment,output,Segments,outputVector
grass7:v.select,output,Selected,outputVector
grass7:v.split,output,Split by length,outputVector
grass7:v.surf.bspline,output,Output vector,outputVector
grass7:v.surf.bspline,raster_output,Interpolated spline,outputRaster
grass7:v.surf.idw,output,Interpolated IDW,outputRaster
grass7:v.surf.rst,aspect,Aspect,outputRaster
grass7:v.surf.rst,deviations,Deviations,outputVector
grass7:v.surf.rst,elevation,Interpolated RST,outputRaster
grass7:v.surf.rst,mcurvature,Mean curvature,outputRaster
grass7:v.surf.rst,overwin,Overlapping Windows,outputVector
grass7:v.surf.rst,pcurvature,Profile curvature,outputRaster
grass7:v.surf.rst,slope,Slope,outputRaster
grass7:v.surf.rst,tcurvature,Tangential curvature,outputRaster
grass7:v.surf.rst,treeseg,Quadtree Segmentation,outputVector
grass7:v.surf.rst.cvdev,cvdev,Cross Validation Errors,outputVector
grass7:v.to.3d,output,3D,outputVector
grass7:v.to.lines,output,Lines,outputVector
grass7:v.to.points,output,Points along lines,outputVector
grass7:v.to.rast,output,Rasterized,outputRaster
grass7:v.transform,output,Transformed,outputVector
grass7:v.type,output,Typed,outputVector
grass7:v.univar,html,Statistics,outputHtml
grass7:v.vect.stats,output,Updated,outputVector
grass7:v.voronoi,output,Voronoi,outputVector
grass7:v.voronoi.skeleton,output,Voronoi,outputVector
grass7:v.what.rast,output,Sampled,outputVector
grass7:v.what.vect,output,Updated,outputVector
latlontools:ecef2lla,OutputLayer,Output pointZ layer,outputVector
latlontools:field2geom,OutputLayer,Output layer,outputVector
latlontools:geom2field,OutputLayer,Output layer,outputVector
latlontools:geom2wkt,OUTPUT,Output layer,outputVector
latlontools:lla2ecef,OutputLayer,Output layer,outputVector
latlontools:mgrs2point,OutputLayer,Output layer,outputVector
latlontools:pluscodes2point,OutputLayer,Output layer,outputVector
latlontools:point2mgrs,OutputLayer,Output layer,outputVector
latlontools:point2pluscodes,OutputLayer,Output layer,outputVector
native:addautoincrementalfield,OUTPUT,Incremented,outputVector
native:addfieldtoattributestable,OUTPUT,Added,outputVector
native:adduniquevalueindexfield,OUTPUT,Layer with index field,outputVector
native:adduniquevalueindexfield,SUMMARY_OUTPUT,Class summary,outputVector
native:addxyfields,OUTPUT,Added fields,outputVector
native:affinetransform,OUTPUT,Transformed,outputVector
native:aggregate,OUTPUT,Aggregated,outputVector
native:alignrasters,OUTPUT_LAYERS,Aligned rasters,outputMultilayer
native:alignsingleraster,OUTPUT,Aligned raster,outputRaster
native:angletonearest,OUTPUT,Aligned layer,outputVector
native:antimeridiansplit,OUTPUT,Split,outputVector
native:arrayoffsetlines,OUTPUT,Offset lines,outputVector
native:arraytranslatedfeatures,OUTPUT,Translated,outputVector
native:aspect,OUTPUT,Aspect,outputRaster
native:assignprojection,OUTPUT,Assigned CRS,outputVector
native:atlaslayouttopdf,OUTPUT,PDF file,outputFile
native:b3dmtogltf,OUTPUT,Output file,outputFile
native:batchnominatimgeocoder,OUTPUT,Geocoded,outputVector
native:bookmarkstolayer,OUTPUT,Output,outputVector
native:boundary,OUTPUT,Boundary,outputVector
native:boundingboxes,OUTPUT,Bounds,outputVector
native:buffer,OUTPUT,Buffered,outputVector
native:bufferbym,OUTPUT,Buffered,outputVector
native:calculateexpression,OUTPUT,Value,outputVariant
native:calculatevectoroverlaps,OUTPUT,Overlap,outputVector
native:cellstackpercentile,CRS_AUTHID,CRS authority identifier,outputString
native:cellstackpercentile,EXTENT,Extent,outputString
native:cellstackpercentile,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:cellstackpercentile,OUTPUT,Output layer,outputRaster
native:cellstackpercentile,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:cellstackpercentile,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:cellstackpercentrankfromrasterlayer,CRS_AUTHID,CRS authority identifier,outputString
native:cellstackpercentrankfromrasterlayer,EXTENT,Extent,outputString
native:cellstackpercentrankfromrasterlayer,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:cellstackpercentrankfromrasterlayer,OUTPUT,Output layer,outputRaster
native:cellstackpercentrankfromrasterlayer,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:cellstackpercentrankfromrasterlayer,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:cellstackpercentrankfromvalue,CRS_AUTHID,CRS authority identifier,outputString
native:cellstackpercentrankfromvalue,EXTENT,Extent,outputString
native:cellstackpercentrankfromvalue,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:cellstackpercentrankfromvalue,OUTPUT,Output layer,outputRaster
native:cellstackpercentrankfromvalue,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:cellstackpercentrankfromvalue,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:cellstatistics,CRS_AUTHID,CRS authority identifier,outputString
native:cellstatistics,EXTENT,Extent,outputString
native:cellstatistics,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:cellstatistics,OUTPUT,Output layer,outputRaster
native:cellstatistics,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:cellstatistics,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:centroids,OUTPUT,Centroids,outputVector
native:clip,OUTPUT,Clipped,outputVector
native:collect,OUTPUT,Collected,outputVector
native:combinestyles,COLORRAMPS,Color ramp count,outputNumber
native:combinestyles,LABELSETTINGS,Label settings count,outputNumber
native:combinestyles,OUTPUT,Output style database,outputFile
native:combinestyles,SYMBOLS,Symbol count,outputNumber
native:combinestyles,TEXTFORMATS,Text format count,outputNumber
native:concavehull,OUTPUT,Concave hull,outputVector
native:convertgpsdata,OUTPUT,Output,outputFile
native:convertgpsdata,OUTPUT_LAYER,Output layer,outputVector
native:convertgpxfeaturetype,OUTPUT,Output,outputFile
native:convertgpxfeaturetype,OUTPUT_LAYER,Output layer,outputVector
native:converttocurves,OUTPUT,Curves,outputVector
native:convexhull,OUTPUT,Convex hulls,outputVector
native:countpointsinpolygon,OUTPUT,Count,outputVector
native:createattributeindex,OUTPUT,Indexed layer,outputVector
native:createconstantrasterlayer,OUTPUT,Constant,outputRaster
native:createdirectory,OUTPUT,Directory,outputFolder
native:creategrid,OUTPUT,Grid,outputVector
native:createpointslayerfromtable,OUTPUT,Points from table,outputVector
native:createrandombinomialrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomexponentialrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomgammarasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomgeometricrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomnegativebinomialrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomnormalrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandompoissonrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomuniformrasterlayer,OUTPUT,Output raster,outputRaster
native:createspatialindex,OUTPUT,Indexed layer,outputVector
native:dbscanclustering,NUM_CLUSTERS,Number of clusters,outputNumber
native:dbscanclustering,OUTPUT,Clusters,outputVector
native:delaunaytriangulation,OUTPUT,Delaunay triangulation,outputVector
native:deletecolumn,OUTPUT,Remaining fields,outputVector
native:deleteduplicategeometries,DUPLICATE_COUNT,Count of discarded duplicate records,outputNumber
native:deleteduplicategeometries,OUTPUT,Cleaned,outputVector
native:deleteduplicategeometries,RETAINED_COUNT,Count of retained records,outputNumber
native:deleteholes,OUTPUT,Cleaned,outputVector
native:densifygeometries,OUTPUT,Densified,outputVector
native:densifygeometriesgivenaninterval,OUTPUT,Densified,outputVector
native:detectvectorchanges,ADDED,Added features,outputVector
native:detectvectorchanges,ADDED_COUNT,Count of features added in revised layer,outputNumber
native:detectvectorchanges,DELETED,Deleted features,outputVector
native:detectvectorchanges,DELETED_COUNT,Count of features deleted from original layer,outputNumber
native:detectvectorchanges,UNCHANGED,Unchanged features,outputVector
native:detectvectorchanges,UNCHANGED_COUNT,Count of unchanged features,outputNumber
native:difference,OUTPUT,Difference,outputVector
native:dissolve,OUTPUT,Dissolved,outputVector
native:downloadgpsdata,OUTPUT,Output,outputFile
native:downloadgpsdata,OUTPUT_LAYER,Output layer,outputVector
native:downloadvectortiles,OUTPUT,Output,outputVectorTile
native:dropgeometries,OUTPUT,Dropped geometries,outputVector
native:dropmzvalues,OUTPUT,Z/M Dropped,outputVector
native:dtmslopebasedfilter,OUTPUT_GROUND,Output layer (ground),outputRaster
native:dtmslopebasedfilter,OUTPUT_NONGROUND,Output layer (non-ground objects),outputRaster
native:dxfexport,OUTPUT,DXF,outputFile
native:equaltofrequency,CRS_AUTHID,CRS authority identifier,outputString
native:equaltofrequency,EXTENT,Extent,outputString
native:equaltofrequency,FOUND_LOCATIONS_COUNT,Count of cells with equal value occurrences,outputNumber
native:equaltofrequency,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:equaltofrequency,MEAN_FREQUENCY_PER_LOCATION,Mean frequency at valid cell locations,outputNumber
native:equaltofrequency,OCCURRENCE_COUNT,Count of value occurrences,outputNumber
native:equaltofrequency,OUTPUT,Output layer,outputRaster
native:equaltofrequency,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:equaltofrequency,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:explodehstorefield,OUTPUT,Exploded,outputVector
native:explodelines,OUTPUT,Exploded,outputVector
native:exportlayersinformation,OUTPUT,Output,outputVector
native:exportmeshedges,OUTPUT,Output vector layer,outputVector
native:exportmeshfaces,OUTPUT,Output vector layer,outputVector
native:exportmeshongrid,OUTPUT,Output vector layer,outputVector
native:exportmeshvertices,OUTPUT,Output vector layer,outputVector
native:exporttospreadsheet,OUTPUT,Destination spreadsheet,outputFile
native:exporttospreadsheet,OUTPUT_LAYERS,Layers within spreadsheet,outputMultilayer
native:extendlines,OUTPUT,Extended,outputVector
native:extenttolayer,OUTPUT,Extent,outputVector
native:extractbinary,FOLDER,Destination folder,outputFolder
native:extractbyattribute,FAIL_OUTPUT,Extracted (non-matching),outputVector
native:extractbyattribute,OUTPUT,Extracted (attribute),outputVector
native:extractbyexpression,FAIL_OUTPUT,Non-matching,outputVector
native:extractbyexpression,OUTPUT,Matching features,outputVector
native:extractbyextent,OUTPUT,Extracted,outputVector
native:extractbylocation,OUTPUT,Extracted (location),outputVector
native:extractlabels,OUTPUT,Extracted labels,outputVector
native:extractmvalues,OUTPUT,Extracted,outputVector
native:extractspecificvertices,OUTPUT,Vertices,outputVector
native:extractvertices,OUTPUT,Vertices,outputVector
native:extractwithindistance,OUTPUT,Extracted (location),outputVector
native:extractzvalues,OUTPUT,Extracted,outputVector
native:fieldcalculator,OUTPUT,Calculated,outputVector
native:filedownloader,OUTPUT,File destination,outputFile
native:fillnodata,OUTPUT,Output raster,outputRaster
native:filterbygeometry,LINES,Line features,outputVector
native:filterbygeometry,LINE_COUNT,Total count of line features,outputNumber
native:filterbygeometry,NO_GEOMETRY,Features with no geometry,outputVector
native:filterbygeometry,NO_GEOMETRY_COUNT,Total count of features without geometry,outputNumber
native:filterbygeometry,POINTS,Point features,outputVector
native:filterbygeometry,POINT_COUNT,Total count of point features,outputNumber
native:filterbygeometry,POLYGONS,Polygon features,outputVector
native:filterbygeometry,POLYGON_COUNT,Total count of polygon features,outputNumber
native:filterlayersbytype,RASTER,Raster layer,outputRaster
native:filterlayersbytype,VECTOR,Vector features,outputVector
native:filterverticesbym,OUTPUT,Filtered,outputVector
native:filterverticesbyz,OUTPUT,Filtered,outputVector
native:fixgeometries,OUTPUT,Fixed geometries,outputVector
native:flattenrelationships,OUTPUT,Flattened layer,outputVector
native:forcerhr,OUTPUT,Reoriented,outputVector
native:fuzzifyrastergaussianmembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrastergaussianmembership,EXTENT,Extent,outputString
native:fuzzifyrastergaussianmembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrastergaussianmembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrastergaussianmembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrastergaussianmembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrasterlargemembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrasterlargemembership,EXTENT,Extent,outputString
native:fuzzifyrasterlargemembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrasterlargemembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrasterlargemembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrasterlargemembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrasterlinearmembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrasterlinearmembership,EXTENT,Extent,outputString
native:fuzzifyrasterlinearmembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrasterlinearmembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrasterlinearmembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrasterlinearmembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrasternearmembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrasternearmembership,EXTENT,Extent,outputString
native:fuzzifyrasternearmembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrasternearmembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrasternearmembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrasternearmembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrasterpowermembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrasterpowermembership,EXTENT,Extent,outputString
native:fuzzifyrasterpowermembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrasterpowermembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrasterpowermembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrasterpowermembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrastersmallmembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrastersmallmembership,EXTENT,Extent,outputString
native:fuzzifyrastersmallmembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrastersmallmembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrastersmallmembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrastersmallmembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:generatepointspixelcentroidsinsidepolygons,OUTPUT,Pixel centroids,outputVector
native:geometrybyexpression,OUTPUT,Modified geometry,outputVector
native:gltftovector,OUTPUT_LINES,Output lines,outputVector
native:gltftovector,OUTPUT_POLYGONS,Output polygons,outputVector
native:greaterthanfrequency,CRS_AUTHID,CRS authority identifier,outputString
native:greaterthanfrequency,EXTENT,Extent,outputString
native:greaterthanfrequency,FOUND_LOCATIONS_COUNT,Count of cells with equal value occurrences,outputNumber
native:greaterthanfrequency,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:greaterthanfrequency,MEAN_FREQUENCY_PER_LOCATION,Mean frequency at valid cell locations,outputNumber
native:greaterthanfrequency,OCCURRENCE_COUNT,Count of value occurrences,outputNumber
native:greaterthanfrequency,OUTPUT,Output layer,outputRaster
native:greaterthanfrequency,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:greaterthanfrequency,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:highestpositioninrasterstack,CRS_AUTHID,CRS authority identifier,outputString
native:highestpositioninrasterstack,EXTENT,Extent,outputString
native:highestpositioninrasterstack,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:highestpositioninrasterstack,OUTPUT,Output layer,outputRaster
native:highestpositioninrasterstack,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:highestpositioninrasterstack,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:hillshade,OUTPUT,Hillshade,outputRaster
native:hublines,OUTPUT,Hub lines,outputVector
native:importphotos,INVALID,Invalid photos table,outputVector
native:importphotos,OUTPUT,Photos,outputVector
native:interpolatepoint,OUTPUT,Interpolated points,outputVector
native:intersection,OUTPUT,Intersection,outputVector
native:joinattributesbylocation,JOINED_COUNT,Number of joined features from input table,outputNumber
native:joinattributesbylocation,NON_MATCHING,Unjoinable features from first layer,outputVector
native:joinattributesbylocation,OUTPUT,Joined layer,outputVector
native:joinattributestable,JOINED_COUNT,Number of joined features from input table,outputNumber
native:joinattributestable,NON_MATCHING,Unjoinable features from first layer,outputVector
native:joinattributestable,OUTPUT,Joined layer,outputVector
native:joinattributestable,UNJOINABLE_COUNT,Number of unjoinable features from input table,outputNumber
native:joinbylocationsummary,OUTPUT,Joined layer,outputVector
native:joinbynearest,JOINED_COUNT,Number of joined features from input table,outputNumber
native:joinbynearest,NON_MATCHING,Unjoinable features from first layer,outputVector
native:joinbynearest,OUTPUT,Joined layer,outputVector
native:joinbynearest,UNJOINABLE_COUNT,Number of unjoinable features from input table,outputNumber
native:keepnbiggestparts,OUTPUT,Parts,outputVector
native:kmeansclustering,OUTPUT,Clusters,outputVector
native:layertobookmarks,COUNT,Count of bookmarks added,outputNumber
native:lessthanfrequency,CRS_AUTHID,CRS authority identifier,outputString
native:lessthanfrequency,EXTENT,Extent,outputString
native:lessthanfrequency,FOUND_LOCATIONS_COUNT,Count of cells with equal value occurrences,outputNumber
native:lessthanfrequency,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:lessthanfrequency,MEAN_FREQUENCY_PER_LOCATION,Mean frequency at valid cell locations,outputNumber
native:lessthanfrequency,OCCURRENCE_COUNT,Count of value occurrences,outputNumber
native:lessthanfrequency,OUTPUT,Output layer,outputRaster
native:lessthanfrequency,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:lessthanfrequency,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:linedensity,OUTPUT,Line density raster,outputRaster
native:lineintersections,OUTPUT,Intersections,outputVector
native:linesubstring,OUTPUT,Substring,outputVector
native:lowestpositioninrasterstack,CRS_AUTHID,CRS authority identifier,outputString
native:lowestpositioninrasterstack,EXTENT,Extent,outputString
native:lowestpositioninrasterstack,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:lowestpositioninrasterstack,OUTPUT,Output layer,outputRaster
native:lowestpositioninrasterstack,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:lowestpositioninrasterstack,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:meancoordinates,OUTPUT,Mean coordinates,outputVector
native:mergelines,OUTPUT,Merged,outputVector
native:mergevectorlayers,OUTPUT,Merged,outputVector
native:meshcontours,OUTPUT_LINES,Exported contour lines,outputVector
native:meshcontours,OUTPUT_POLYGONS,Exported contour polygons,outputVector
native:meshexportcrosssection,OUTPUT,Exported data CSV file,outputFile
native:meshexporttimeseries,OUTPUT,Exported data CSV file,outputFile
native:meshrasterize,OUTPUT,Output raster layer,outputRaster
native:minimumenclosingcircle,OUTPUT,Minimum enclosing circles,outputVector
native:modelerrastercalc,OUTPUT,Calculated,outputRaster
native:modelervirtualrastercalc,OUTPUT,Calculated,outputRaster
native:multidifference,OUTPUT,Difference,outputVector
native:multiintersection,OUTPUT,Intersection,outputVector
native:multiparttosingleparts,OUTPUT,Single parts,outputVector
native:multiringconstantbuffer,OUTPUT,Multi-ring buffer (constant distance),outputVector
native:multiunion,OUTPUT,Union,outputVector
native:nearestneighbouranalysis,EXPECTED_MD,Expected mean distance,outputNumber
native:nearestneighbouranalysis,NN_INDEX,Nearest neighbour index,outputNumber
native:nearestneighbouranalysis,OBSERVED_MD,Observed mean distance,outputNumber
native:nearestneighbouranalysis,OUTPUT_HTML_FILE,Nearest neighbour,outputHtml
native:nearestneighbouranalysis,POINT_COUNT,Number of points,outputNumber
native:nearestneighbouranalysis,Z_SCORE,Z-score,outputNumber
native:offsetline,OUTPUT,Offset,outputVector
native:orderbyexpression,OUTPUT,Ordered,outputVector
native:orientedminimumboundingbox,OUTPUT,Bounding boxes,outputVector
native:orthogonalize,OUTPUT,Orthogonalized,outputVector
native:package,OUTPUT,Destination GeoPackage,outputFile
native:package,OUTPUT_LAYERS,Layers within new package,outputMultilayer
native:pixelstopoints,OUTPUT,Vector points,outputVector
native:pixelstopolygons,OUTPUT,Vector polygons,outputVector
native:pointonsurface,OUTPUT,Point,outputVector
native:pointsalonglines,OUTPUT,Interpolated points,outputVector
native:pointstopath,NUM_PATHS,Number of paths,outputNumber
native:pointstopath,OUTPUT,Paths,outputVector
native:pointstopath,OUTPUT_TEXT_DIR,Directory for text output,outputFolder
native:pointtolayer,OUTPUT,Point,outputVector
native:poleofinaccessibility,OUTPUT,Point,outputVector
native:polygonfromlayerextent,OUTPUT,Extent,outputVector
native:polygonize,NUM_POLYGONS,Number of polygons,outputNumber
native:polygonize,OUTPUT,Polygons,outputVector
native:polygonstolines,OUTPUT,Lines,outputVector
native:printlayoutmapextenttolayer,HEIGHT,Map height,outputNumber
native:printlayoutmapextenttolayer,OUTPUT,Extent,outputVector
native:printlayoutmapextenttolayer,ROTATION,Map rotation,outputNumber
native:printlayoutmapextenttolayer,SCALE,Map scale,outputNumber
native:printlayoutmapextenttolayer,WIDTH,Map width,outputNumber
native:printlayouttoimage,OUTPUT,Image file,outputFile
native:printlayouttopdf,OUTPUT,PDF file,outputFile
native:projectpointcartesian,OUTPUT,Projected,outputVector
native:promotetomulti,OUTPUT,Multiparts,outputVector
native:randomextract,OUTPUT,Extracted (random),outputVector
native:randompointsinextent,OUTPUT,Random points,outputVector
native:randompointsinpolygons,FEATURES_WITH_EMPTY_OR_NO_GEOMETRY,Number of features with empty or no geometry,outputNumber
native:randompointsinpolygons,OUTPUT,Random points in polygons,outputVector
native:randompointsinpolygons,OUTPUT_POINTS,Total number of points generated,outputNumber
native:randompointsinpolygons,POINTS_MISSED,Number of missed points,outputNumber
native:randompointsinpolygons,POLYGONS_WITH_MISSED_POINTS,Number of polygons with missed points,outputNumber
native:randompointsonlines,FEATURES_WITH_EMPTY_OR_NO_GEOMETRY,Number of features with empty or no geometry,outputNumber
native:randompointsonlines,LINES_WITH_MISSED_POINTS,Number of features with missed points,outputNumber
native:randompointsonlines,OUTPUT,Random points on lines,outputVector
native:randompointsonlines,OUTPUT_POINTS,Total number of points generated,outputNumber
native:randompointsonlines,POINTS_MISSED,Number of missed points,outputNumber
native:rasterbooleanand,CRS_AUTHID,CRS authority identifier,outputString
native:rasterbooleanand,EXTENT,Extent,outputString
native:rasterbooleanand,FALSE_PIXEL_COUNT,False pixel count,outputNumber
native:rasterbooleanand,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterbooleanand,NODATA_PIXEL_COUNT,NODATA pixel count,outputNumber
native:rasterbooleanand,OUTPUT,Output layer,outputRaster
native:rasterbooleanand,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:rasterbooleanand,TRUE_PIXEL_COUNT,True pixel count,outputNumber
native:rasterbooleanand,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rastercalc,OUTPUT,Calculated,outputRaster
native:rasterize,OUTPUT,Output layer,outputRaster
native:rasterlayerproperties,BAND_COUNT,Number of bands in raster,outputNumber
