algorithm,name,description,qgis_type
grass7:r.terraflow,direction,Flow direction,rasterDestination
grass7:r.terraflow,swatershed,Sink-watershed,rasterDestination
grass7:r.terraflow,accumulation,Flow accumulation,rasterDestination
grass7:r.terraflow,stats,Runtime statistics,fileDestination
grass7:r.terraflow,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.texture,input,Name of input raster map,raster
grass7:r.texture,output,Texture files directory,folderDestination
grass7:r.texture,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.thin,input,Input raster layer to thin,raster
grass7:r.thin,iterations,Maximum number of iterations,number
grass7:r.thin,output,Thinned,rasterDestination
grass7:r.thin,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.tile,input,Name of input raster map,raster
grass7:r.tile,overlap,Overlap of tiles,number
grass7:r.tile,output,Tiles Directory,folderDestination
grass7:r.tile,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.tileset,sourceproj,Source projection,crs
grass7:r.tileset,sourcescale,Conversion factor from units to meters in source projection,number
grass7:r.tileset,destproj,Destination projection,crs
grass7:r.tileset,destscale,Conversion factor from units to meters in destination projection,number
grass7:r.tileset,maxcols,Maximum number of columns for a tile in the source projection,number
grass7:r.tileset,maxrows,Maximum number of rows for a tile in the source projection,number
grass7:r.tileset,overlap,Number of cells tiles should overlap in each direction,number
grass7:r.tileset,separator,Output field separator,string
grass7:r.tileset,html,Tileset,fileDestination
grass7:r.tileset,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.to.vect,input,Input raster layer,raster
grass7:r.to.vect,type,Feature type,enum
grass7:r.to.vect,column,Name of attribute column to store value,string
grass7:r.to.vect,output,Vectorized,vectorDestination
grass7:r.to.vect,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.to.vect,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:r.topidx,input,Input elevation layer,raster
grass7:r.topidx,output,Topographic index,rasterDestination
grass7:r.topidx,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.topmodel,parameters,Name of TOPMODEL parameters file,file
grass7:r.topmodel,topidxstats,Name of topographic index statistics file,file
grass7:r.topmodel,input,Name of rainfall and potential evapotranspiration data file,file
grass7:r.topmodel,timestep,Time step. Generate output for this time step,number
grass7:r.topmodel,topidxclass,Topographic index class. Generate output for this topographic index class,number
grass7:r.topmodel,output,TOPMODEL output,fileDestination
grass7:r.topmodel,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.topmodel.topidxstats,topidx,Name of input topographic index raster map,raster
grass7:r.topmodel.topidxstats,ntopidxclasses,Number of topographic index classes,number
grass7:r.topmodel.topidxstats,outtopidxstats,TOPMODEL topographic index statistics file,fileDestination
grass7:r.topmodel.topidxstats,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.transect,map,Raster map to be queried,raster
grass7:r.transect,null_value,String representing NULL value,string
grass7:r.transect,html,Transect file,fileDestination
grass7:r.transect,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.univar,output,Univariate results,fileDestination
grass7:r.univar,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.uslek,output,USLE R Raster,rasterDestination
grass7:r.uslek,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.usler,method,Name of USLE R equation,enum
grass7:r.usler,output,USLE R Raster,rasterDestination
grass7:r.usler,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.viewshed,input,Elevation,raster
grass7:r.viewshed,coordinates,Coordinate identifying the viewing position,point
grass7:r.viewshed,observer_elevation,Viewing elevation above the ground,number
grass7:r.viewshed,target_elevation,Offset for target elevation above the ground,number
grass7:r.viewshed,refraction_coeff,Refraction coefficient,number
grass7:r.viewshed,memory,Amount of memory to use in MB,number
grass7:r.viewshed,output,Intervisibility,rasterDestination
grass7:r.viewshed,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.volume,input,Name of input raster map representing data that will be summed within clumps,raster
grass7:r.volume,centroids,Centroids,vectorDestination
grass7:r.volume,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.volume,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:r.walk.coords,elevation,Name of input elevation raster map,raster
grass7:r.walk.coords,friction,Name of input raster map containing friction costs,raster
grass7:r.walk.coords,lambda,Lambda coefficients for combining walking energy and friction cost,number
grass7:r.walk.coords,slope_factor,Slope factor determines travel energy cost per height step,number
grass7:r.walk.coords,max_cost,Maximum cumulative cost,number
grass7:r.walk.coords,memory,Maximum memory to be used in MB,number
grass7:r.walk.coords,output,Cumulative cost,rasterDestination
grass7:r.walk.coords,outdir,Movement Directions,rasterDestination
grass7:r.walk.coords,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.walk.points,elevation,Name of input elevation raster map,raster
grass7:r.walk.points,friction,Name of input raster map containing friction costs,raster
grass7:r.walk.points,start_points,Start points,source
grass7:r.walk.points,stop_points,Stop points,source
grass7:r.walk.points,lambda,Lambda coefficients for combining walking energy and friction cost,number
grass7:r.walk.points,slope_factor,Slope factor determines travel energy cost per height step,number
grass7:r.walk.points,max_cost,Maximum cumulative cost,number
grass7:r.walk.points,memory,Maximum memory to be used in MB,number
grass7:r.walk.points,output,Cumulative cost,rasterDestination
grass7:r.walk.points,outdir,Movement Directions,rasterDestination
grass7:r.walk.points,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.walk.points,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:r.walk.rast,elevation,Name of input elevation raster map,raster
grass7:r.walk.rast,friction,Name of input raster map containing friction costs,raster
grass7:r.walk.rast,lambda,Lambda coefficients for combining walking energy and friction cost,number
grass7:r.walk.rast,slope_factor,Slope factor determines travel energy cost per height step,number
grass7:r.walk.rast,max_cost,Maximum cumulative cost,number
grass7:r.walk.rast,memory,Maximum memory to be used in MB,number
grass7:r.walk.rast,output,Cumulative cost,rasterDestination
grass7:r.walk.rast,outdir,Movement Directions,rasterDestination
grass7:r.walk.rast,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.water.outlet,input,Name of input raster map,raster
grass7:r.water.outlet,coordinates,Coordinates of outlet point,point
grass7:r.water.outlet,output,Basin,rasterDestination
grass7:r.water.outlet,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.watershed,elevation,Elevation,raster
grass7:r.watershed,depression,Locations of real depressions,raster
grass7:r.watershed,flow,Amount of overland flow per cell,raster
grass7:r.watershed,threshold,Minimum size of exterior watershed basin,number
grass7:r.watershed,accumulation,Number of cells that drain through each cell,rasterDestination
grass7:r.watershed,drainage,Drainage direction,rasterDestination
grass7:r.watershed,basin,Unique label for each watershed basin,rasterDestination
grass7:r.watershed,stream,Stream segments,rasterDestination
grass7:r.watershed,half_basin,Half-basins,rasterDestination
grass7:r.watershed,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.what.color,input,Raster map to query colors,raster
grass7:r.what.color,html,Colors file,fileDestination
grass7:r.what.color,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.what.coords,map,Name of raster map,raster
grass7:r.what.coords,null_value,String representing NULL value,string
grass7:r.what.coords,cache,Size of point cache,number
grass7:r.what.coords,output,Raster Value File,fileDestination
grass7:r.what.coords,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.what.points,map,Name of raster map,raster
grass7:r.what.points,points,Name of vector points layer for query,source
grass7:r.what.points,null_value,String representing NULL value,string
grass7:r.what.points,cache,Size of point cache,number
grass7:r.what.points,output,Raster Values File,fileDestination
grass7:r.what.points,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:r.what.points,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.buffer,input,Input vector layer,source
grass7:v.buffer,cats,Category values,string
grass7:v.buffer,type,Input feature type,enum
grass7:v.buffer,distance,Buffer distance in map units,number
grass7:v.buffer,minordistance,Buffer distance along minor axis in map units,number
grass7:v.buffer,angle,Angle of major axis in degrees,number
grass7:v.buffer,column,Name of column to use for buffer distances,field
grass7:v.buffer,scale,Scaling factor for attribute column values,number
grass7:v.buffer,tolerance,Maximum distance between theoretical arc and polygon segments as multiple of buffer,number
grass7:v.buffer,output,Buffer,vectorDestination
grass7:v.buffer,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.buffer,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.buffer,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.build.check,map,Name of vector map,source
grass7:v.build.check,error,Topological errors,vectorDestination
grass7:v.build.check,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.build.check,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.build.check,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.build.polylines,input,Name of input vector map,source
grass7:v.build.polylines,cats,Category number mode,enum
grass7:v.build.polylines,type,Input feature type,enum
grass7:v.build.polylines,output,Polylines,vectorDestination
grass7:v.build.polylines,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.build.polylines,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.build.polylines,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.class,map,Input vector layer,source
grass7:v.class,column,Column name or expression,field
grass7:v.class,algorithm,Algorithm to use for classification,enum
grass7:v.class,nbclasses,Number of classes to define,number
grass7:v.class,html,Classification,fileDestination
grass7:v.class,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.class,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.clean,input,Layer to clean,source
grass7:v.clean,type,Input feature type,enum
grass7:v.clean,tool,Cleaning tool,enum
grass7:v.clean,output,Cleaned,vectorDestination
grass7:v.clean,error,Errors,vectorDestination
grass7:v.clean,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.clean,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.clean,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.cluster,input,Input layer,source
grass7:v.cluster,distance,Maximum distance to neighbors,number
grass7:v.cluster,min,Minimum number of points to create a cluster,number
grass7:v.cluster,method,Clustering method,enum
grass7:v.cluster,output,Clustered,vectorDestination
grass7:v.cluster,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.cluster,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.cluster,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.db.select,map,Input vector map ,source
grass7:v.db.select,layer,Layer Number,number
grass7:v.db.select,separator,Output field separator,string
grass7:v.db.select,vertical_separator,Output vertical record separator,string
grass7:v.db.select,null_value,Null value indicator,string
grass7:v.db.select,file,Attributes,fileDestination
grass7:v.db.select,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.db.select,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.decimate,input,Input vector,source
grass7:v.decimate,cats,Category values,string
grass7:v.decimate,skip,Throw away every n-th point,number
grass7:v.decimate,preserve,Preserve only every n-th point,number
grass7:v.decimate,offset,Skip first n points,number
grass7:v.decimate,limit,Copy only n points,number
grass7:v.decimate,zdiff,Minimal difference of z values,number
grass7:v.decimate,cell_limit,Preserve only n points per grid cell,number
grass7:v.decimate,output,Output vector map,vectorDestination
grass7:v.decimate,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.decimate,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.decimate,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.delaunay,input,Input vector layer,source
grass7:v.delaunay,output,Delaunay triangulation,vectorDestination
grass7:v.delaunay,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.delaunay,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.delaunay,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.dissolve,input,Input vector layer,source
grass7:v.dissolve,column,Name of column used to dissolve common boundaries,field
grass7:v.dissolve,output,Dissolved,vectorDestination
grass7:v.dissolve,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.dissolve,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.dissolve,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.distance,dmax,Maximum distance or -1.0 for no limit,number
grass7:v.distance,dmin,Minimum distance or -1.0 for no limit,number
grass7:v.distance,from_output,Nearest,vectorDestination
grass7:v.distance,output,Distance,vectorDestination
grass7:v.distance,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.distance,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.distance,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.drape,input,Input vector layer,source
grass7:v.drape,type,Input feature type,enum
grass7:v.drape,elevation,Elevation raster map for height extraction,raster
grass7:v.drape,method,Sampling method,enum
grass7:v.drape,scale,Scale factor sampled raster values,number
grass7:v.drape,null_value,Height for sampled raster NULL values,number
grass7:v.drape,output,3D vector,vectorDestination
grass7:v.drape,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.drape,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.drape,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.edit,map,Name of vector layer,source
grass7:v.edit,type,Input feature type,enum
grass7:v.edit,tool,Tool,enum
grass7:v.edit,input,ASCII file for add tool,file
grass7:v.edit,ids,Feature ids,string
grass7:v.edit,cats,Category values,string
grass7:v.edit,coords,List of point coordinates,string
grass7:v.edit,bbox,Bounding box for selecting features,extent
grass7:v.edit,polygon,Polygon for selecting features,string
grass7:v.edit,query,Query tool,enum
grass7:v.edit,bgmap,Name of background vector map,source
grass7:v.edit,snap,Snap added or modified features in the given threshold to the nearest existing feature,enum
grass7:v.edit,output,Edited,vectorDestination
grass7:v.edit,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.edit,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.edit,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.extract,input,Vector layer,source
grass7:v.extract,type,Input feature type,enum
grass7:v.extract,random,Number of random categories matching vector objects to extract,number
grass7:v.extract,output,Selected,vectorDestination
grass7:v.extract,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.extract,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.extract,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.extrude,input,Name of input 2D vector map,source
grass7:v.extrude,type,Input feature type,enum
grass7:v.extrude,zshift,Shifting value for z coordinates,number
grass7:v.extrude,height,Fixed height for 3D vector objects,number
grass7:v.extrude,height_column,Name of attribute column with object heights,field
grass7:v.extrude,elevation,Elevation raster for height extraction,raster
grass7:v.extrude,method,Sampling interpolation method,enum
grass7:v.extrude,scale,Scale factor sampled raster values,number
grass7:v.extrude,null_value,Height for sampled raster NULL values,number
grass7:v.extrude,output,3D Vector,vectorDestination
grass7:v.extrude,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.extrude,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.extrude,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.generalize,input,Input layer,source
grass7:v.generalize,type,Input feature type,enum
grass7:v.generalize,cats,Category values,string
grass7:v.generalize,method,Generalization algorithm,enum
grass7:v.generalize,threshold,Maximal tolerance value,number
grass7:v.generalize,look_ahead,Look-ahead parameter,number
grass7:v.generalize,slide,Slide of computed point toward the original point,number
grass7:v.generalize,angle_thresh,Minimum angle between two consecutive segments in Hermite method,number
grass7:v.generalize,degree_thresh,Degree threshold in network generalization,number
grass7:v.generalize,closeness_thresh,Closeness threshold in network generalization,number
grass7:v.generalize,betweeness_thresh,Betweenness threshold in network generalization,number
grass7:v.generalize,alpha,Snakes alpha parameter,number
grass7:v.generalize,beta,Snakes beta parameter,number
grass7:v.generalize,iterations,Number of iterations,number
grass7:v.generalize,output,Generalized,vectorDestination
grass7:v.generalize,error,Errors,vectorDestination
grass7:v.generalize,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.generalize,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.generalize,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.hull,input,Input layer,source
grass7:v.hull,output,Convex hull,vectorDestination
grass7:v.hull,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.hull,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.hull,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.in.ascii,input,ASCII file to be imported,file
grass7:v.in.ascii,format,Input file format,enum
grass7:v.in.ascii,separator,Field separator,string
grass7:v.in.ascii,text,Text delimiter,string
grass7:v.in.ascii,skip,Number of header lines to skip at top of input file,number
grass7:v.in.ascii,x,Number of column used as x coordinate,number
grass7:v.in.ascii,y,Number of column used as y coordinate,number
grass7:v.in.ascii,z,Number of column used as z coordinate,number
grass7:v.in.ascii,cat,Number of column used as category,number
grass7:v.in.ascii,output,ASCII,vectorDestination
grass7:v.in.ascii,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.in.ascii,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.in.dxf,input,Name of input DXF file,file
grass7:v.in.dxf,layers,List of layers to import,string
grass7:v.in.dxf,output,Converted,vectorDestination
grass7:v.in.dxf,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.in.dxf,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.in.e00,input,Name of input E00 file,file
grass7:v.in.e00,type,Input feature type,enum
grass7:v.in.e00,output,Name of output vector,vectorDestination
grass7:v.in.e00,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.in.e00,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.in.geonames,output,Geonames,vectorDestination
grass7:v.in.geonames,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.in.geonames,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.in.lidar,spatial,Import subregion only,extent
grass7:v.in.lidar,zrange,Filter range for z data,range
grass7:v.in.lidar,return_filter,Only import points of selected return type,enum
grass7:v.in.lidar,skip,Do not import every n-th point,number
grass7:v.in.lidar,preserve,Import only every n-th point,number
grass7:v.in.lidar,offset,Skip first n points,number
grass7:v.in.lidar,limit,Import only n points,number
grass7:v.in.lidar,output,Lidar,vectorDestination
grass7:v.in.lidar,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.in.lidar,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.in.lines,input,ASCII file to be imported,file
grass7:v.in.lines,separator,Field separator,string
grass7:v.in.lines,output,Lines,vectorDestination
grass7:v.in.lines,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.in.lines,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.in.mapgen,output,Mapgen,vectorDestination
grass7:v.in.mapgen,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.in.mapgen,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.in.wfs,srs,Alternate spatial reference system,crs
grass7:v.in.wfs,name,Comma separated names of data layers to download,string
grass7:v.in.wfs,maximum_features,Maximum number of features to download,number
grass7:v.in.wfs,start_index,Skip earlier feature IDs and start downloading at this one,number
grass7:v.in.wfs,output,Converted,vectorDestination
grass7:v.in.wfs,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.in.wfs,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.info,map,Name of input vector map,source
grass7:v.info,html,Information report,fileDestination
grass7:v.info,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.info,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.kcv,map,Input layer,source
grass7:v.kcv,npartitions,Number of partitions,number
grass7:v.kcv,column,Name for new column to which partition number is written,string
grass7:v.kcv,output,Partition,vectorDestination
grass7:v.kcv,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.kcv,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.kcv,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.kernel.rast,input,Name of input vector map with training points,source
grass7:v.kernel.rast,radius,Kernel radius in map units,number
grass7:v.kernel.rast,dsize,Discretization error in map units,number
grass7:v.kernel.rast,segmax,Maximum length of segment on network,number
grass7:v.kernel.rast,distmax,Maximum distance from point to network,number
grass7:v.kernel.rast,multiplier,Multiply the density result by this number,number
grass7:v.kernel.rast,node,Node method,enum
grass7:v.kernel.rast,kernel,Kernel function,enum
grass7:v.kernel.rast,output,Kernel,rasterDestination
grass7:v.kernel.rast,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.kernel.rast,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.kernel.vector,input,Name of input vector map with training points,source
grass7:v.kernel.vector,net,Name of input network vector map,source
grass7:v.kernel.vector,radius,Kernel radius in map units,number
grass7:v.kernel.vector,dsize,Discretization error in map units,number
grass7:v.kernel.vector,segmax,Maximum length of segment on network,number
grass7:v.kernel.vector,distmax,Maximum distance from point to network,number
grass7:v.kernel.vector,multiplier,Multiply the density result by this number,number
grass7:v.kernel.vector,node,Node method,enum
grass7:v.kernel.vector,kernel,Kernel function,enum
grass7:v.kernel.vector,output,Kernel,vectorDestination
grass7:v.kernel.vector,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.kernel.vector,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.kernel.vector,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.lidar.correction,ew_step,Length of each spline step in the east-west direction,number
grass7:v.lidar.correction,ns_step,Length of each spline step in the north-south direction,number
grass7:v.lidar.correction,lambda_c,Regularization weight in reclassification evaluation,number
grass7:v.lidar.correction,tch,High threshold for object to terrain reclassification,number
grass7:v.lidar.correction,tcl,Low threshold for terrain to object reclassification,number
grass7:v.lidar.correction,output,Classified,vectorDestination
grass7:v.lidar.correction,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.lidar.correction,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.lidar.correction,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.lidar.edgedetection,input,Input vector layer,source
grass7:v.lidar.edgedetection,ew_step,Length of each spline step in the east-west direction,number
grass7:v.lidar.edgedetection,ns_step,Length of each spline step in the north-south direction,number
grass7:v.lidar.edgedetection,lambda_g,Regularization weight in gradient evaluation,number
grass7:v.lidar.edgedetection,tgh,High gradient threshold for edge classification,number
grass7:v.lidar.edgedetection,tgl,Low gradient threshold for edge classification,number
grass7:v.lidar.edgedetection,theta_g,Angle range for same direction detection,number
grass7:v.lidar.edgedetection,lambda_r,Regularization weight in residual evaluation,number
grass7:v.lidar.edgedetection,output,Edges,vectorDestination
grass7:v.lidar.edgedetection,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.lidar.edgedetection,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.lidar.edgedetection,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.lidar.growing,first,First pulse vector layer,source
grass7:v.lidar.growing,tj,Threshold for cell object frequency in region growing,number
grass7:v.lidar.growing,td,Threshold for double pulse in region growing,number
grass7:v.lidar.growing,output,Buildings,vectorDestination
grass7:v.lidar.growing,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.lidar.growing,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.lidar.growing,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.mkgrid,grid,Number of rows and columns in grid,string
grass7:v.mkgrid,position,Where to place the grid,enum
grass7:v.mkgrid,coordinates,Lower left easting and northing coordinates of map,point
grass7:v.mkgrid,box,Width and height of boxes in grid,string
grass7:v.mkgrid,breaks,Number of vertex points per grid cell,number
grass7:v.mkgrid,map,Grid,vectorDestination
grass7:v.mkgrid,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.mkgrid,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.neighbors,input,Input vector layer,source
grass7:v.neighbors,method,Neighborhood operation,enum
grass7:v.neighbors,size,Neighborhood diameter in map units,number
grass7:v.neighbors,output,Neighborhood,rasterDestination
grass7:v.neighbors,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.neighbors,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.net,file,Name of input arcs file,file
grass7:v.net,operation,Operation to be performed,enum
grass7:v.net,arc_type,Arc type,enum
grass7:v.net,output,Network,vectorDestination
grass7:v.net,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.net,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.net,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.net.alloc,center_cats,Category values,string
grass7:v.net.alloc,arc_type,Arc type,enum
grass7:v.net.alloc,output,Network Alloction,vectorDestination
grass7:v.net.alloc,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.net.alloc,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.net.alloc,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.net.allpairs,cats,Category values,string
grass7:v.net.allpairs,output,Network_Allpairs,vectorDestination
grass7:v.net.allpairs,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.net.allpairs,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.net.allpairs,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.net.bridge,method,Feature type,enum
grass7:v.net.bridge,output,Bridge,vectorDestination
grass7:v.net.bridge,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:v.net.bridge,GRASS_MIN_AREA_PARAMETER,v.in.ogr min area,number
grass7:v.net.bridge,GRASS_OUTPUT_TYPE_PARAMETER,v.out.ogr output type,enum
grass7:v.net.centrality,degree,Name of output degree centrality column,string
grass7:v.net.centrality,closeness,Name of output closeness centrality column,string
grass7:v.net.centrality,betweenness,Name of output betweenness centrality column,string
