algorithm,name,description,qgis_output_type
native:createconstantrasterlayer,OUTPUT,Constant,outputRaster
native:creategrid,OUTPUT,Grid,outputVector
native:createpointslayerfromtable,OUTPUT,Points from table,outputVector
native:createrandombinomialrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomexponentialrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomgammarasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomgeometricrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomnegativebinomialrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomnormalrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandompoissonrasterlayer,OUTPUT,Output raster,outputRaster
native:createrandomuniformrasterlayer,OUTPUT,Output raster,outputRaster
native:createspatialindex,OUTPUT,Indexed layer,outputVector
native:dbscanclustering,OUTPUT,Clusters,outputVector
native:dbscanclustering,NUM_CLUSTERS,Number of clusters,outputNumber
native:deleteduplicategeometries,OUTPUT,Cleaned,outputVector
native:deleteduplicategeometries,RETAINED_COUNT,Count of retained records,outputNumber
native:deleteduplicategeometries,DUPLICATE_COUNT,Count of discarded duplicate records,outputNumber
native:deleteholes,OUTPUT,Cleaned,outputVector
native:densifygeometries,OUTPUT,Densified,outputVector
native:densifygeometriesgivenaninterval,OUTPUT,Densified,outputVector
native:detectvectorchanges,UNCHANGED,Unchanged features,outputVector
native:detectvectorchanges,ADDED,Added features,outputVector
native:detectvectorchanges,DELETED,Deleted features,outputVector
native:detectvectorchanges,UNCHANGED_COUNT,Count of unchanged features,outputNumber
native:detectvectorchanges,ADDED_COUNT,Count of features added in revised layer,outputNumber
native:detectvectorchanges,DELETED_COUNT,Count of features deleted from original layer,outputNumber
native:difference,OUTPUT,Difference,outputVector
native:dissolve,OUTPUT,Dissolved,outputVector
native:dropgeometries,OUTPUT,Dropped geometries,outputVector
native:dropmzvalues,OUTPUT,Z,outputVector
native:equaltofrequency,OUTPUT,Output layer,outputRaster
native:equaltofrequency,OCCURRENCE_COUNT,Count of value occurrences,outputNumber
native:equaltofrequency,FOUND_LOCATIONS_COUNT,Count of cells with equal value occurrences,outputNumber
native:equaltofrequency,MEAN_FREQUENCY_PER_LOCATION,Mean frequency at valid cell locations,outputNumber
native:equaltofrequency,EXTENT,Extent,outputString
native:equaltofrequency,CRS_AUTHID,CRS authority identifier,outputString
native:equaltofrequency,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:equaltofrequency,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:equaltofrequency,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:explodehstorefield,OUTPUT,Exploded,outputVector
native:explodelines,OUTPUT,Exploded,outputVector
native:extendlines,OUTPUT,Extended,outputVector
native:extenttolayer,OUTPUT,Extent,outputVector
native:extractbinary,FOLDER,Destination folder,outputFolder
native:extractbyattribute,OUTPUT,Extracted ,outputVector
native:extractbyattribute,FAIL_OUTPUT,Extracted ,outputVector
native:extractbyexpression,OUTPUT,Matching features,outputVector
native:extractbyexpression,FAIL_OUTPUT,Non,outputVector
native:extractbyextent,OUTPUT,Extracted,outputVector
native:extractbylocation,OUTPUT,Extracted ,outputVector
native:extractmvalues,OUTPUT,Extracted,outputVector
native:extractspecificvertices,OUTPUT,Vertices,outputVector
native:extractvertices,OUTPUT,Vertices,outputVector
native:extractzvalues,OUTPUT,Extracted,outputVector
native:fieldcalculator,OUTPUT,Calculated,outputVector
native:filedownloader,OUTPUT,File destination,outputFile
native:fillnodata,OUTPUT,Output raster,outputRaster
native:filterverticesbym,OUTPUT,Filtered,outputVector
native:filterverticesbyz,OUTPUT,Filtered,outputVector
native:fixgeometries,OUTPUT,Fixed geometries,outputVector
native:flattenrelationships,OUTPUT,Flattened layer,outputVector
native:forcerhr,OUTPUT,Reoriented,outputVector
native:fuzzifyrastergaussianmembership,EXTENT,Extent,outputString
native:fuzzifyrastergaussianmembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrastergaussianmembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrastergaussianmembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrastergaussianmembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrastergaussianmembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrasterlargemembership,EXTENT,Extent,outputString
native:fuzzifyrasterlargemembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrasterlargemembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrasterlargemembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrasterlargemembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrasterlargemembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrasterlinearmembership,EXTENT,Extent,outputString
native:fuzzifyrasterlinearmembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrasterlinearmembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrasterlinearmembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrasterlinearmembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrasterlinearmembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrasternearmembership,EXTENT,Extent,outputString
native:fuzzifyrasternearmembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrasternearmembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrasternearmembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrasternearmembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrasternearmembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrasterpowermembership,EXTENT,Extent,outputString
native:fuzzifyrasterpowermembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrasterpowermembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrasterpowermembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrasterpowermembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrasterpowermembership,OUTPUT,Fuzzified raster,outputRaster
native:fuzzifyrastersmallmembership,EXTENT,Extent,outputString
native:fuzzifyrastersmallmembership,CRS_AUTHID,CRS authority identifier,outputString
native:fuzzifyrastersmallmembership,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:fuzzifyrastersmallmembership,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:fuzzifyrastersmallmembership,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:fuzzifyrastersmallmembership,OUTPUT,Fuzzified raster,outputRaster
native:generatepointspixelcentroidsinsidepolygons,OUTPUT,Pixel centroids,outputVector
native:geometrybyexpression,OUTPUT,Modified geometry,outputVector
native:greaterthanfrequency,OUTPUT,Output layer,outputRaster
native:greaterthanfrequency,OCCURRENCE_COUNT,Count of value occurrences,outputNumber
native:greaterthanfrequency,FOUND_LOCATIONS_COUNT,Count of cells with equal value occurrences,outputNumber
native:greaterthanfrequency,MEAN_FREQUENCY_PER_LOCATION,Mean frequency at valid cell locations,outputNumber
native:greaterthanfrequency,EXTENT,Extent,outputString
native:greaterthanfrequency,CRS_AUTHID,CRS authority identifier,outputString
native:greaterthanfrequency,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:greaterthanfrequency,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:greaterthanfrequency,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:highestpositioninrasterstack,OUTPUT,Output layer,outputRaster
native:highestpositioninrasterstack,EXTENT,Extent,outputString
native:highestpositioninrasterstack,CRS_AUTHID,CRS authority identifier,outputString
native:highestpositioninrasterstack,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:highestpositioninrasterstack,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:highestpositioninrasterstack,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:hillshade,OUTPUT,Hillshade,outputRaster
native:hublines,OUTPUT,Hub lines,outputVector
native:importphotos,OUTPUT,Photos,outputVector
native:importphotos,INVALID,Invalid photos table,outputVector
native:interpolatepoint,OUTPUT,Interpolated points,outputVector
native:intersection,OUTPUT,Intersection,outputVector
native:joinattributesbylocation,OUTPUT,Joined layer,outputVector
native:joinattributesbylocation,NON_MATCHING,Unjoinable features from first layer,outputVector
native:joinattributesbylocation,JOINED_COUNT,Number of joined features from input table,outputNumber
native:joinattributestable,OUTPUT,Joined layer,outputVector
native:joinattributestable,NON_MATCHING,Unjoinable features from first layer,outputVector
native:joinattributestable,JOINED_COUNT,Number of joined features from input table,outputNumber
native:joinattributestable,UNJOINABLE_COUNT,Number of unjoinable features from input table,outputNumber
native:joinbynearest,OUTPUT,Joined layer,outputVector
native:joinbynearest,NON_MATCHING,Unjoinable features from first layer,outputVector
native:joinbynearest,JOINED_COUNT,Number of joined features from input table,outputNumber
native:joinbynearest,UNJOINABLE_COUNT,Number of unjoinable features from input table,outputNumber
native:kmeansclustering,OUTPUT,Clusters,outputVector
native:layertobookmarks,COUNT,Count of bookmarks added,outputNumber
native:lessthanfrequency,OUTPUT,Output layer,outputRaster
native:lessthanfrequency,OCCURRENCE_COUNT,Count of value occurrences,outputNumber
native:lessthanfrequency,FOUND_LOCATIONS_COUNT,Count of cells with equal value occurrences,outputNumber
native:lessthanfrequency,MEAN_FREQUENCY_PER_LOCATION,Mean frequency at valid cell locations,outputNumber
native:lessthanfrequency,EXTENT,Extent,outputString
native:lessthanfrequency,CRS_AUTHID,CRS authority identifier,outputString
native:lessthanfrequency,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:lessthanfrequency,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:lessthanfrequency,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:linedensity,OUTPUT,Line density raster,outputRaster
native:lineintersections,OUTPUT,Intersections,outputVector
native:linesubstring,OUTPUT,Substring,outputVector
native:lowestpositioninrasterstack,OUTPUT,Output layer,outputRaster
native:lowestpositioninrasterstack,EXTENT,Extent,outputString
native:lowestpositioninrasterstack,CRS_AUTHID,CRS authority identifier,outputString
native:lowestpositioninrasterstack,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:lowestpositioninrasterstack,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:lowestpositioninrasterstack,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:meancoordinates,OUTPUT,Mean coordinates,outputVector
native:mergelines,OUTPUT,Merged,outputVector
native:mergevectorlayers,OUTPUT,Merged,outputVector
native:minimumenclosingcircle,OUTPUT,Minimum enclosing circles,outputVector
native:multiparttosingleparts,OUTPUT,Single parts,outputVector
native:multiringconstantbuffer,OUTPUT,Multi,outputVector
native:nearestneighbouranalysis,OUTPUT_HTML_FILE,Nearest neighbour,outputHtml
native:nearestneighbouranalysis,OBSERVED_MD,Observed mean distance,outputNumber
native:nearestneighbouranalysis,EXPECTED_MD,Expected mean distance,outputNumber
native:nearestneighbouranalysis,NN_INDEX,Nearest neighbour index,outputNumber
native:nearestneighbouranalysis,POINT_COUNT,Number of points,outputNumber
native:nearestneighbouranalysis,Z_SCORE,Z,outputNumber
native:offsetline,OUTPUT,Offset,outputVector
native:orderbyexpression,OUTPUT,Ordered,outputVector
native:orientedminimumboundingbox,OUTPUT,Bounding boxes,outputVector
native:orthogonalize,OUTPUT,Orthogonalized,outputVector
native:package,OUTPUT,Destination GeoPackage,outputFile
native:package,OUTPUT_LAYERS,Layers within new package,outputMultilayer
native:pixelstopoints,OUTPUT,Vector points,outputVector
native:pixelstopolygons,OUTPUT,Vector polygons,outputVector
native:pointonsurface,OUTPUT,Point,outputVector
native:pointsalonglines,OUTPUT,Interpolated points,outputVector
native:pointtolayer,OUTPUT,Point,outputVector
native:poleofinaccessibility,OUTPUT,Point,outputVector
native:polygonfromlayerextent,OUTPUT,Extent,outputVector
native:polygonize,OUTPUT,Polygons,outputVector
native:polygonize,NUM_POLYGONS,Number of polygons,outputNumber
native:polygonstolines,OUTPUT,Lines,outputVector
native:postgisexecutesql,NA,NA,NA
native:printlayoutmapextenttolayer,OUTPUT,Extent,outputVector
native:printlayoutmapextenttolayer,WIDTH,Map width,outputNumber
native:printlayoutmapextenttolayer,HEIGHT,Map height,outputNumber
native:printlayoutmapextenttolayer,SCALE,Map scale,outputNumber
native:printlayoutmapextenttolayer,ROTATION,Map rotation,outputNumber
native:printlayouttoimage,OUTPUT,Image file,outputFile
native:printlayouttopdf,OUTPUT,PDF file,outputFile
native:projectpointcartesian,OUTPUT,Projected,outputVector
native:promotetomulti,OUTPUT,Multiparts,outputVector
native:randomextract,OUTPUT,Extracted ,outputVector
native:randompointsinextent,OUTPUT,Random points,outputVector
native:randompointsinpolygons,OUTPUT,Random points in polygons,outputVector
native:randompointsinpolygons,OUTPUT_POINTS,Total number of points generated,outputNumber
native:randompointsinpolygons,POINTS_MISSED,Number of missed points,outputNumber
native:randompointsinpolygons,POLYGONS_WITH_MISSED_POINTS,Number of polygons with missed points,outputNumber
native:randompointsinpolygons,FEATURES_WITH_EMPTY_OR_NO_GEOMETRY,Number of features with empty or no geometry,outputNumber
native:randompointsonlines,OUTPUT,Random points on lines,outputVector
native:randompointsonlines,OUTPUT_POINTS,Total number of points generated,outputNumber
native:randompointsonlines,POINTS_MISSED,Number of missed points,outputNumber
native:randompointsonlines,LINES_WITH_MISSED_POINTS,Number of features with missed points,outputNumber
native:randompointsonlines,FEATURES_WITH_EMPTY_OR_NO_GEOMETRY,Number of features with empty or no geometry,outputNumber
native:rasterbooleanand,OUTPUT,Output layer,outputRaster
native:rasterbooleanand,EXTENT,Extent,outputString
native:rasterbooleanand,CRS_AUTHID,CRS authority identifier,outputString
native:rasterbooleanand,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rasterbooleanand,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterbooleanand,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:rasterbooleanand,NODATA_PIXEL_COUNT,NODATA pixel count,outputNumber
native:rasterbooleanand,TRUE_PIXEL_COUNT,True pixel count,outputNumber
native:rasterbooleanand,FALSE_PIXEL_COUNT,False pixel count,outputNumber
native:rasterize,OUTPUT,Output layer,outputRaster
native:rasterlayerstatistics,OUTPUT_HTML_FILE,Statistics,outputHtml
native:rasterlayerstatistics,MIN,Minimum value,outputNumber
native:rasterlayerstatistics,MAX,Maximum value,outputNumber
native:rasterlayerstatistics,RANGE,Range,outputNumber
native:rasterlayerstatistics,SUM,Sum,outputNumber
native:rasterlayerstatistics,MEAN,Mean value,outputNumber
native:rasterlayerstatistics,STD_DEV,Standard deviation,outputNumber
native:rasterlayerstatistics,SUM_OF_SQUARES,Sum of the squares,outputNumber
native:rasterlayeruniquevaluesreport,OUTPUT_HTML_FILE,Unique values report,outputHtml
native:rasterlayeruniquevaluesreport,OUTPUT_TABLE,Unique values table,outputVector
native:rasterlayeruniquevaluesreport,EXTENT,Extent,outputString
native:rasterlayeruniquevaluesreport,CRS_AUTHID,CRS authority identifier,outputString
native:rasterlayeruniquevaluesreport,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rasterlayeruniquevaluesreport,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterlayeruniquevaluesreport,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:rasterlayeruniquevaluesreport,NODATA_PIXEL_COUNT,NODATA pixel count,outputNumber
native:rasterlayerzonalstats,OUTPUT_TABLE,Statistics,outputVector
native:rasterlayerzonalstats,EXTENT,Extent,outputString
native:rasterlayerzonalstats,CRS_AUTHID,CRS authority identifier,outputString
native:rasterlayerzonalstats,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rasterlayerzonalstats,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterlayerzonalstats,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:rasterlayerzonalstats,NODATA_PIXEL_COUNT,NODATA pixel count,outputNumber
native:rasterlogicalor,OUTPUT,Output layer,outputRaster
native:rasterlogicalor,EXTENT,Extent,outputString
native:rasterlogicalor,CRS_AUTHID,CRS authority identifier,outputString
native:rasterlogicalor,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rasterlogicalor,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterlogicalor,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:rasterlogicalor,NODATA_PIXEL_COUNT,NODATA pixel count,outputNumber
native:rasterlogicalor,TRUE_PIXEL_COUNT,True pixel count,outputNumber
native:rasterlogicalor,FALSE_PIXEL_COUNT,False pixel count,outputNumber
native:rastersampling,OUTPUT,Sampled,outputVector
native:rastersurfacevolume,OUTPUT_HTML_FILE,Surface volume report,outputHtml
native:rastersurfacevolume,OUTPUT_TABLE,Surface volume table,outputVector
native:rastersurfacevolume,VOLUME,Volume,outputNumber
native:rastersurfacevolume,PIXEL_COUNT,Pixel count,outputNumber
native:rastersurfacevolume,AREA,Area,outputNumber
native:reclassifybylayer,OUTPUT,Reclassified raster,outputRaster
native:reclassifybytable,OUTPUT,Reclassified raster,outputRaster
native:rectanglesovalsdiamonds,OUTPUT,Polygon,outputVector
native:refactorfields,OUTPUT,Refactored,outputVector
native:removeduplicatesbyattribute,OUTPUT,Filtered ,outputVector
native:removeduplicatesbyattribute,DUPLICATES,Filtered ,outputVector
native:removeduplicatesbyattribute,RETAINED_COUNT,Count of retained records,outputNumber
native:removeduplicatesbyattribute,DUPLICATE_COUNT,Count of discarded duplicate records,outputNumber
native:removeduplicatevertices,OUTPUT,Cleaned,outputVector
native:removenullgeometries,OUTPUT,Non null geometries,outputVector
native:removenullgeometries,NULL_OUTPUT,Null geometries,outputVector
native:renametablefield,OUTPUT,Renamed,outputVector
native:repairshapefile,OUTPUT,Repaired layer,outputVector
native:reprojectlayer,OUTPUT,Reprojected,outputVector
native:rescaleraster,OUTPUT,Rescaled,outputRaster
native:reverselinedirection,OUTPUT,Reversed,outputVector
native:rotatefeatures,OUTPUT,Rotated,outputVector
native:roundrastervalues,OUTPUT,Output raster,outputRaster
native:ruggednessindex,OUTPUT,Ruggedness,outputRaster
native:savefeatures,OUTPUT,Saved features,outputFile
native:savefeatures,FILE_PATH,File name and path,outputString
native:savefeatures,LAYER_NAME,Layer name,outputString
native:saveselectedfeatures,OUTPUT,Selected features,outputVector
native:segmentizebymaxangle,OUTPUT,Segmentized,outputVector
native:segmentizebymaxdistance,OUTPUT,Segmentized,outputVector
native:serviceareafromlayer,OUTPUT_LINES,Service area ,outputVector
native:serviceareafromlayer,OUTPUT,Service area ,outputVector
native:serviceareafrompoint,OUTPUT_LINES,Service area ,outputVector
native:serviceareafrompoint,OUTPUT,Service area ,outputVector
native:setlayerencoding,OUTPUT,Output layer,outputVector
native:setlayerstyle,OUTPUT,Styled,outputLayer
native:setmfromraster,OUTPUT,Draped,outputVector
native:setmvalue,OUTPUT,M Added,outputVector
native:setzfromraster,OUTPUT,Draped,outputVector
native:setzvalue,OUTPUT,Z Added,outputVector
native:shortestpathlayertopoint,OUTPUT,Shortest path,outputVector
native:shortestpathpointtolayer,OUTPUT,Shortest path,outputVector
native:shortestpathpointtopoint,OUTPUT,Shortest path,outputVector
native:shortestpathpointtopoint,TRAVEL_COST,Travel cost,outputNumber
native:shpencodinginfo,ENCODING,Shapefile Encoding,outputString
native:shpencodinginfo,CPG_ENCODING,CPG Encoding,outputString
native:shpencodinginfo,LDID_ENCODING,LDID Encoding,outputString
native:simplifygeometries,OUTPUT,Simplified,outputVector
native:singlesidedbuffer,OUTPUT,Buffered,outputVector
native:slope,OUTPUT,Slope,outputRaster
native:smoothgeometry,OUTPUT,Smoothed,outputVector
native:snapgeometries,OUTPUT,Snapped geometry,outputVector
native:snappointstogrid,OUTPUT,Snapped,outputVector
native:spatialiteexecutesql,NA,NA,NA
native:spatialiteexecutesqlregistered,NA,NA,NA
native:splitfeaturesbycharacter,OUTPUT,Split,outputVector
native:splitlinesbylength,OUTPUT,Split,outputVector
native:splitvectorlayer,OUTPUT,Output directory,outputFolder
native:splitvectorlayer,OUTPUT_LAYERS,Output layers,outputMultilayer
native:splitwithlines,OUTPUT,Split,outputVector
native:stylefromproject,OUTPUT,Output style database,outputFile
native:stylefromproject,SYMBOLS,Symbol count,outputNumber
native:stylefromproject,COLORRAMPS,Color ramp count,outputNumber
native:stylefromproject,TEXTFORMATS,Text format count,outputNumber
native:stylefromproject,LABELSETTINGS,Label settings count,outputNumber
native:subdivide,OUTPUT,Subdivided,outputVector
native:sumlinelengths,OUTPUT,Line length,outputVector
native:swapxy,OUTPUT,Swapped,outputVector
native:symmetricaldifference,OUTPUT,Symmetrical difference,outputVector
native:taperedbuffer,OUTPUT,Buffered,outputVector
native:tinmeshcreation,OUTPUT_MESH,Output File,outputFile
native:transect,OUTPUT,Transect,outputVector
native:translategeometry,OUTPUT,Translated,outputVector
native:truncatetable,OUTPUT,Truncated layer,outputVector
native:union,OUTPUT,Union,outputVector
native:wedgebuffers,OUTPUT,Buffers,outputVector
native:writevectortiles_mbtiles,OUTPUT,Destination MBTiles,outputFile
native:writevectortiles_xyz,OUTPUT_DIRECTORY,Output directory,outputFolder
native:zonalhistogram,OUTPUT,Output zones,outputVector
native:zonalstatisticsfb,OUTPUT,Zonal Statistics,outputVector
qgis:advancedpythonfieldcalculator,OUTPUT,Calculated,outputVector
qgis:barplot,OUTPUT,Bar plot,outputHtml
qgis:basicstatisticsforfields,OUTPUT_HTML_FILE,Statistics,outputHtml
qgis:basicstatisticsforfields,COUNT,Count,outputNumber
qgis:basicstatisticsforfields,UNIQUE,Number of unique values,outputNumber
qgis:basicstatisticsforfields,EMPTY,Number of empty ,outputNumber
qgis:basicstatisticsforfields,FILLED,Number of non,outputNumber
qgis:basicstatisticsforfields,MIN,Minimum value,outputNumber
qgis:basicstatisticsforfields,MAX,Maximum value,outputNumber
qgis:basicstatisticsforfields,MIN_LENGTH,Minimum length,outputNumber
qgis:basicstatisticsforfields,MAX_LENGTH,Maximum length,outputNumber
qgis:basicstatisticsforfields,MEAN_LENGTH,Mean length,outputNumber
qgis:basicstatisticsforfields,CV,Coefficient of Variation,outputNumber
qgis:basicstatisticsforfields,SUM,Sum,outputNumber
qgis:basicstatisticsforfields,MEAN,Mean value,outputNumber
qgis:basicstatisticsforfields,STD_DEV,Standard deviation,outputNumber
qgis:basicstatisticsforfields,RANGE,Range,outputNumber
qgis:basicstatisticsforfields,MEDIAN,Median,outputNumber
qgis:basicstatisticsforfields,MINORITY,Minority ,outputNumber
qgis:basicstatisticsforfields,MAJORITY,Majority ,outputNumber
qgis:basicstatisticsforfields,FIRSTQUARTILE,First quartile,outputNumber
qgis:basicstatisticsforfields,THIRDQUARTILE,Third quartile,outputNumber
qgis:basicstatisticsforfields,IQR,Interquartile Range ,outputNumber
qgis:boxplot,OUTPUT,Box plot,outputHtml
qgis:checkvalidity,VALID_OUTPUT,Valid output,outputVector
qgis:checkvalidity,VALID_COUNT,Count of valid features,outputNumber
qgis:checkvalidity,INVALID_OUTPUT,Invalid output,outputVector
qgis:checkvalidity,INVALID_COUNT,Count of invalid features,outputNumber
qgis:checkvalidity,ERROR_OUTPUT,Error output,outputVector
qgis:checkvalidity,ERROR_COUNT,Count of errors,outputNumber
qgis:climbalongline,OUTPUT,Climb layer,outputVector
qgis:climbalongline,TOTALCLIMB,Total climb,outputNumber
qgis:climbalongline,TOTALDESCENT,Total descent,outputNumber
qgis:climbalongline,MINELEVATION,Minimum elevation,outputNumber
qgis:climbalongline,MAXELEVATION,Maximum elevation,outputNumber
qgis:concavehull,OUTPUT,Concave hull,outputVector
qgis:convertgeometrytype,OUTPUT,Converted,outputVector
qgis:definecurrentprojection,INPUT,Layer with projection,outputVector
qgis:delaunaytriangulation,OUTPUT,Delaunay triangulation,outputVector
qgis:deletecolumn,OUTPUT,Remaining fields,outputVector
qgis:distancematrix,OUTPUT,Distance matrix,outputVector
qgis:distancetonearesthublinetohub,OUTPUT,Hub distance,outputVector
qgis:distancetonearesthubpoints,OUTPUT,Hub distance,outputVector
qgis:executesql,OUTPUT,SQL Output,outputVector
qgis:exportaddgeometrycolumns,OUTPUT,Added geom info,outputVector
qgis:findprojection,OUTPUT,CRS candidates,outputVector
qgis:generatepointspixelcentroidsalongline,OUTPUT,Points along lines,outputVector
qgis:heatmapkerneldensityestimation,OUTPUT,Heatmap,outputRaster
qgis:hypsometriccurves,OUTPUT_DIRECTORY,Hypsometric curves,outputFolder
qgis:idwinterpolation,OUTPUT,Interpolated,outputRaster
qgis:importintopostgis,NA,NA,NA
qgis:importintospatialite,NA,NA,NA
qgis:joinbylocationsummary,OUTPUT,Joined layer,outputVector
qgis:keepnbiggestparts,OUTPUT,Parts,outputVector
qgis:knearestconcavehull,OUTPUT,Concave hull,outputVector
qgis:linestopolygons,OUTPUT,Polygons,outputVector
qgis:listuniquevalues,OUTPUT,Unique values,outputVector
qgis:listuniquevalues,OUTPUT_HTML_FILE,HTML report,outputHtml
qgis:listuniquevalues,TOTAL_VALUES,Total unique values,outputNumber
qgis:listuniquevalues,UNIQUE_VALUES,Unique values,outputString
qgis:meanandstandarddeviationplot,OUTPUT,Plot,outputHtml
qgis:minimumboundinggeometry,OUTPUT,Bounding geometry,outputVector
qgis:pointsdisplacement,OUTPUT,Displaced,outputVector
qgis:pointstopath,OUTPUT,Paths,outputVector
qgis:pointstopath,OUTPUT_TEXT_DIR,Directory for text output,outputFolder
qgis:polarplot,OUTPUT,Polar plot,outputHtml
qgis:randomextractwithinsubsets,OUTPUT,Extracted ,outputVector
qgis:randompointsalongline,OUTPUT,Random points,outputVector
qgis:randompointsinlayerbounds,OUTPUT,Random points,outputVector
qgis:randompointsinsidepolygons,OUTPUT,Random points,outputVector
qgis:rastercalculator,OUTPUT,Output,outputRaster
qgis:rasterlayerhistogram,OUTPUT,Histogram,outputHtml
qgis:regularpoints,OUTPUT,Regular points,outputVector
qgis:relief,OUTPUT,Relief,outputRaster
qgis:relief,FREQUENCY_DISTRIBUTION,Frequency distribution,outputFile
qgis:scatter3dplot,OUTPUT,Histogram,outputHtml
qgis:statisticsbycategories,OUTPUT,Statistics by category,outputVector
qgis:texttofloat,OUTPUT,Float from text,outputVector
qgis:tilesxyzdirectory,OUTPUT_DIRECTORY,Output directory,outputFolder
qgis:tilesxyzdirectory,OUTPUT_HTML,Output html ,outputHtml
qgis:tilesxyzmbtiles,OUTPUT_FILE,Output file ,outputFile
qgis:tininterpolation,OUTPUT,Interpolated,outputRaster
qgis:tininterpolation,TRIANGULATION,Triangulation,outputVector
qgis:topologicalcoloring,OUTPUT,Colored,outputVector
qgis:vectorlayerhistogram,OUTPUT,Histogram,outputHtml
qgis:vectorlayerscatterplot,OUTPUT,Scatterplot,outputHtml
qgis:voronoipolygons,OUTPUT,Voronoi polygons,outputVector
saga:accumulatedcost,ACCUMULATED,Accumulated Cost,outputRaster
saga:accumulatedcost,ALLOCATION,Allocation,outputRaster
saga:accumulatedcostanisotropic,ACCCOST,Accumulated Cost,outputRaster
saga:accumulatedcostisotropic,ACCCOST,Accumulated Cost,outputRaster
saga:accumulatedcostisotropic,CLOSESTPT,Closest Point,outputRaster
saga:accumulationfunctions,FLUX,Flux,outputRaster
saga:accumulationfunctions,STATE_OUT,State t ,outputRaster
saga:addcoordinatestopoints,OUTPUT,Points with coordinates,outputVector
saga:addindicatorfieldsforcategories,OUT_SHAPES,Output shapes with field,outputVector
saga:addpointattributestopolygons,OUTPUT,Result,outputVector
